CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC,Erythrocyte_progenitors,Adipocytes,Bladder
cg11026555,0.0077,0.02,0.0661,0.009,0.0901,0.0126,0.0049,0.0187,0.0361
cg25814383,0.044,0.0626,0.0489,0.0503,0.0454,0.0422,0.0262,0.0276,0.0328
cg04313875,0.0056,0.0114,0.0071,0.2367,0.018,0.0058,0.0057,0.0041,0.0033
cg19411214,0.0155,0.0172,0.0162,0.0158,0.0106,0.0166,0.0072,0.0161,0.0005
cg25533943,0.0887,0.0969,0.1076,0.0942,0.0841,0.0904,0.0555,0.037,0.0233
cg10308906,0.0077,0.0156,0.0153,0.0088,0.0127,0.0068,0.0055,0.0034,0.0275
cg18021161,0.0082,0.013,0.0126,0.0113,0.0245,0.0135,0.0081,0.0235,0.002
cg24740818,0.0749,0.0798,0.0867,0.0965,0.1076,0.0648,0.0366,0.1403,0.0983
cg08557928,0.0108,0.0122,0.0166,0.0127,0.0226,0.0153,0.0052,0.0146,0.0085
cg18765439,0.0159,0.0168,0.016,0.0104,0.0135,0.0126,0.0039,0.01,0.0116
cg02532488,0.0844,0.0892,0.0924,0.0875,0.0876,0.0931,0.105,0.0984,0.1058
cg15217978,0.0812,0.0802,0.084,0.0791,0.0735,0.0825,0.0928,0.1009,0.0961
cg18209835,0.0052,0.0055,0.0141,0.0041,0.012,0.0063,0.0063,0.0104,0.0079
cg03657573,0.006,0.0158,0.01,0.0066,0.0126,0.0074,0.0049,0.0047,0.0075
cg07648238,0.0159,0.0456,0.0484,0.0187,0.1048,0.0118,0.0172,0.0081,0.0287
cg10452531,0.079,0.1073,0.1181,0.0894,0.1381,0.0896,0.0392,0.0396,0.0346
cg08740698,0.041,0.0995,0.1202,0.0503,0.2068,0.0454,0.0231,0.021,0.0405
cg17167852,0.0354,0.2246,0.098,0.0636,0.1756,0.0274,0.005,0.0085,0.0606
cg09072162,0.0112,0.0834,0.0204,0.0188,0.059,0.0086,0.0083,0.0003,0.0159
cg25957967,0.044,0.092,0.0706,0.0477,0.089,0.0394,0.0278,0.026,0.0429
cg15844835,0.0132,0.0244,0.0208,0.0138,0.0129,0.0174,0.0111,0.005,0.0104
cg09904383,0.0177,0.0541,0.0214,0.0193,0.0219,0.0219,0.0064,0.0109,0.0074
cg08742288,0.0118,0.0151,0.014,0.0119,0.0085,0.0107,0.0057,0.0063,0.0019
cg12927498,0.0106,0.0446,0.0134,0.0087,0.0121,0.0125,0.0011,0.0035,0.0017
cg08658621,0.0077,0.0465,0.0083,0.0084,0.0125,0.0071,0.0048,0.0127,0.0112
cg24498031,0.0141,0.021,0.0278,0.018,0.0264,0.0182,0.0086,0.0161,0.0113
cg01608788,0.0066,0.0099,0.0136,0.0086,0.0128,0.0065,0.0002,0.023,0.0046
cg20301722,0.0116,0.0103,0.0121,0.0099,0.0098,0.0107,0.0075,0.0032,0.0032
cg08936794,0.0538,0.0522,0.0533,0.0538,0.0513,0.0539,0.0514,0.0655,0.0526
cg15844835,0.0132,0.0244,0.0208,0.0138,0.0129,0.0174,0.0111,0.005,0.0104
cg09904383,0.0177,0.0541,0.0214,0.0193,0.0219,0.0219,0.0064,0.0109,0.0074
cg08742288,0.0118,0.0151,0.014,0.0119,0.0085,0.0107,0.0057,0.0063,0.0019
cg12927498,0.0106,0.0446,0.0134,0.0087,0.0121,0.0125,0.0011,0.0035,0.0017
cg17129986,0.0158,0.019,0.019,0.0144,0.0179,0.0156,0.0074,0.0146,0.013
cg04689080,0.0108,0.0602,0.0233,0.0108,0.0379,0.0095,0.0028,0.0,0.0182
cg08659394,0.007,0.0202,0.0116,0.008,0.0171,0.0084,0.0011,0.0053,0.0094
cg05527491,0.0178,0.0543,0.0392,0.038,0.0489,0.0234,0.0192,0.0173,0.0239
cg06212637,0.0492,0.074,0.0675,0.0884,0.0872,0.0492,0.0501,0.0703,0.0612
cg23696132,0.01,0.0107,0.0161,0.0105,0.0138,0.0146,0.0076,0.0079,0.007
cg22451358,0.0178,0.0266,0.0313,0.0214,0.0254,0.0191,0.0029,0.0063,0.0075
cg10951120,0.0138,0.0216,0.0154,0.0154,0.019,0.0151,0.0056,0.0096,0.0032
cg20107759,0.0063,0.0327,0.0187,0.0099,0.0284,0.0077,0.009,0.0044,0.0089
cg07583894,0.0131,0.0741,0.0394,0.0208,0.0802,0.0169,0.0124,0.0159,0.053
cg22125968,0.0043,0.0052,0.0075,0.0039,0.0053,0.0043,0.0024,0.0006,0.0031
cg01536987,0.0114,0.0108,0.0118,0.0094,0.0106,0.0111,0.0081,0.0104,0.0066
cg12536502,0.0317,0.0369,0.0523,0.0397,0.049,0.0427,0.0171,0.0128,0.006
cg07804711,0.0428,0.0449,0.0457,0.0406,0.0323,0.0453,0.026,0.0556,0.037
cg00846114,0.0038,0.0077,0.0077,0.0068,0.0078,0.0076,0.0068,0.0024,0.0136
cg03314195,0.0319,0.0292,0.0306,0.0298,0.0268,0.0309,0.0142,0.0317,0.034
cg11831003,0.0177,0.0222,0.0226,0.0234,0.0232,0.0198,0.0507,0.037,0.0144
cg24008544,0.02,0.0224,0.0185,0.014,0.0244,0.0174,0.018,0.0236,0.1133
cg03049782,0.0498,0.0543,0.0514,0.0447,0.053,0.0515,0.0368,0.0492,0.1646
cg25361023,0.0104,0.0777,0.0281,0.0108,0.0745,0.0093,0.0055,0.0031,0.0178
cg10129665,0.1077,0.1556,0.144,0.1071,0.2002,0.102,0.0606,0.0727,0.1186
cg22397520,0.0154,0.0159,0.0194,0.0162,0.0134,0.0123,0.011,0.0115,0.0104
cg24838029,0.0198,0.0275,0.0316,0.0251,0.0234,0.0222,0.0044,0.0055,0.0034
cg24729481,0.033,0.0388,0.0376,0.031,0.0305,0.0374,0.0179,0.0277,0.0175
cg10520349,0.0326,0.0276,0.03,0.029,0.029,0.0284,0.0314,0.0335,0.0095
cg15346168,0.0203,0.017,0.048,0.0317,0.1134,0.0188,0.0045,0.0006,0.0117
cg25076767,0.0091,0.0088,0.0173,0.0108,0.0262,0.0098,0.0133,0.0015,0.0051
cg17521583,0.0237,0.0446,0.0347,0.0375,0.0393,0.0276,0.0205,0.0323,0.0076
cg07174665,0.0501,0.0701,0.0612,0.0634,0.0718,0.0457,0.0488,0.1144,0.0686
cg01937701,0.0251,0.0612,0.0672,0.0135,0.0132,0.0342,0.0033,0.0071,0.0194
cg05054115,0.0146,0.048,0.0696,0.0103,0.01,0.0261,0.0003,0.0093,0.0
cg25678052,0.0102,0.0108,0.0094,0.0105,0.0088,0.0099,0.01,0.0137,0.0046
cg08384314,0.0108,0.017,0.0112,0.0137,0.0146,0.0139,0.0113,0.0872,0.0101
cg20178172,0.0103,0.0079,0.0099,0.0103,0.0084,0.0127,0.0108,0.1503,0.0109
cg17389738,0.0879,0.0838,0.0788,0.0768,0.0781,0.0791,0.0678,0.2122,0.0845
cg19006429,0.021,0.0573,0.0783,0.0311,0.0703,0.0228,0.006,0.0177,0.0187
cg22105332,0.0047,0.0318,0.0363,0.0074,0.0325,0.0041,0.0078,0.0009,0.0045
cg05853632,0.0374,0.0787,0.0718,0.0516,0.0752,0.0396,0.013,0.02,0.0214
cg10927841,0.002,0.0052,0.0046,0.0027,0.0039,0.0027,0.0011,0.068,0.0188
cg26360792,0.0382,0.0425,0.0538,0.0436,0.063,0.0374,0.0135,0.0293,0.0501
cg27299406,0.0165,0.0169,0.022,0.02,0.0274,0.0154,0.0164,0.0248,0.0322
cg00765428,0.0283,0.03,0.0385,0.0309,0.0293,0.0371,0.0129,0.0158,0.0111
cg07325233,0.0321,0.0336,0.0302,0.0297,0.0352,0.0309,0.008,0.01,0.0057
cg19333963,0.0152,0.0466,0.0346,0.0234,0.0433,0.0181,0.0113,0.0072,0.0949
cg03306486,0.0105,0.0244,0.024,0.0258,0.0254,0.0103,0.0094,0.0092,0.1151
cg01855735,0.0378,0.0545,0.0496,0.0476,0.0524,0.0484,0.0154,0.031,0.0384
cg26284390,0.03,0.0344,0.0443,0.0392,0.0476,0.0397,0.0379,0.027,0.0028
cg09463900,0.0189,0.0358,0.0384,0.0184,0.035,0.0222,0.0063,0.0,0.0223
cg19333963,0.0152,0.0466,0.0346,0.0234,0.0433,0.0181,0.0113,0.0072,0.0949
cg03306486,0.0105,0.0244,0.024,0.0258,0.0254,0.0103,0.0094,0.0092,0.1151
cg10094078,0.1309,0.2164,0.216,0.1596,0.2266,0.1408,0.129,0.1381,0.23
cg18345115,0.0108,0.0134,0.0566,0.012,0.1758,0.0134,0.0045,0.0089,0.0532
cg22152407,0.0043,0.0248,0.0076,0.0079,0.0079,0.0045,0.0062,0.0101,0.0132
cg25397597,0.018,0.0955,0.0354,0.0263,0.0516,0.016,0.0082,0.0139,0.0168
cg03710719,0.0069,0.0072,0.007,0.0068,0.0043,0.0055,0.0028,0.0025,0.002
cg27297851,0.0282,0.0357,0.0318,0.0298,0.0308,0.0275,0.0375,0.0436,0.0349
cg15090202,0.0025,0.0028,0.0083,0.0017,0.0044,0.0026,0.0142,0.008,0.0212
cg04089426,0.0042,0.0043,0.0048,0.0145,0.0038,0.0038,0.0021,0.0106,0.0018
cg01778114,0.0107,0.0148,0.0288,0.0173,0.0208,0.0197,0.0099,0.0201,0.0191
cg12620499,0.0017,0.001,0.003,0.0029,0.0015,0.0033,0.0073,0.0167,0.0055
cg11224362,0.0056,0.0028,0.0084,0.0031,0.005,0.0047,0.0017,0.0013,0.0011
cg23693289,0.005,0.0051,0.0067,0.0058,0.0024,0.0076,0.0011,0.0079,0.0081
cg27118059,0.0041,0.0073,0.006,0.0052,0.0036,0.0055,0.0062,0.0018,0.0011
cg13341720,0.0111,0.0126,0.0165,0.0137,0.0158,0.0136,0.002,0.0054,0.0043
cg06154084,0.0052,0.0064,0.0032,0.0066,0.0047,0.0043,0.005,0.0056,0.0026
cg17952661,0.0162,0.0183,0.0205,0.0172,0.0219,0.0162,0.0076,0.0205,0.0213
cg04221886,0.0206,0.0624,0.0294,0.0242,0.0336,0.0219,0.0061,0.0097,0.0106
cg02066638,0.0148,0.0161,0.013,0.0127,0.0164,0.0136,0.0128,0.0038,0.0013
cg07993547,0.0048,0.005,0.0063,0.007,0.0053,0.0073,0.0029,0.0048,0.0047
cg23511432,0.0046,0.0042,0.0027,0.0024,0.0036,0.0022,0.003,0.0029,0.0017
cg02288341,0.0406,0.0479,0.0464,0.0452,0.0452,0.0446,0.0289,0.0486,0.0555
cg16147221,0.0167,0.017,0.0219,0.0176,0.0213,0.0138,0.0071,0.0145,0.0649
cg21663580,0.0066,0.0393,0.0137,0.008,0.0268,0.007,0.0038,0.0057,0.0106
cg19091677,0.0064,0.0067,0.0075,0.0074,0.0078,0.0083,0.0113,0.0062,0.0015
cg11186122,0.0137,0.0115,0.0112,0.0158,0.0131,0.01,0.0159,0.0107,0.0057
cg07003632,0.005,0.0583,0.0149,0.0094,0.0152,0.0061,0.0069,0.0035,0.0107
cg14185025,0.0091,0.0508,0.0145,0.0082,0.0145,0.0108,0.0016,0.0093,0.0085
cg04884842,0.0096,0.0084,0.0095,0.0059,0.0072,0.0062,0.0071,0.0009,0.011
cg18224445,0.0039,0.0085,0.0041,0.0045,0.0025,0.0067,0.0047,0.0044,0.0
cg16549711,0.0047,0.0092,0.0057,0.0026,0.007,0.004,0.0085,0.0136,0.0024
cg11037818,0.0364,0.0424,0.044,0.0313,0.0401,0.0362,0.0286,0.0352,0.0353
cg22286978,0.0044,0.0074,0.0061,0.0049,0.0096,0.0058,0.0059,0.0031,0.0488
cg05657618,0.0044,0.0154,0.0088,0.0052,0.0086,0.0053,0.0086,0.0104,0.0145
cg04920951,0.0069,0.0069,0.0108,0.0074,0.0068,0.0086,0.0017,0.001,0.0
cg15273066,0.0107,0.0134,0.0152,0.012,0.0157,0.0132,0.009,0.0043,0.0021
cg13974409,0.003,0.0089,0.0089,0.0066,0.0087,0.0064,0.0098,0.0146,0.0141
cg10628098,0.0628,0.0723,0.0803,0.0783,0.069,0.0557,0.056,0.0875,0.0877
cg03705926,0.0127,0.0163,0.0191,0.0209,0.0269,0.0147,0.0099,0.0134,0.0116
cg11036831,0.0108,0.0388,0.0182,0.0091,0.023,0.0095,0.0189,0.0309,0.0316
cg11854806,0.0049,0.0419,0.0132,0.0067,0.017,0.0043,0.0081,0.0013,0.0029
cg13087076,0.0704,0.119,0.0735,0.0692,0.089,0.06,0.069,0.074,0.0782
cg16771783,0.0596,0.115,0.0721,0.064,0.0888,0.0605,0.0654,0.0737,0.0642
cg03805475,0.0278,0.1223,0.056,0.0295,0.0679,0.0284,0.0244,0.0047,0.0064
cg22220467,0.0041,0.0169,0.0072,0.042,0.0398,0.0043,0.0038,0.0062,0.0214
cg00524108,0.0058,0.0417,0.0234,0.0585,0.0866,0.0079,0.0033,0.0113,0.0426
cg04681368,0.0433,0.0793,0.0633,0.0706,0.0864,0.047,0.0152,0.0257,0.024
cg10632000,0.0442,0.0931,0.0758,0.1639,0.1276,0.0482,0.0355,0.1234,0.0841
cg09897416,0.0095,0.0098,0.0113,0.0107,0.0123,0.0133,0.0089,0.0023,0.0016
cg11802864,0.0151,0.0194,0.0221,0.0175,0.0169,0.0176,0.0113,0.0045,0.0053
cg02454890,0.0093,0.006,0.0219,0.0066,0.0089,0.0054,0.0064,0.0097,0.0075
cg00478874,0.0038,0.0077,0.01,0.0126,0.019,0.005,0.0139,0.0183,0.0183
cg18466911,0.0821,0.0867,0.0999,0.1076,0.0952,0.0829,0.0539,0.1374,0.0949
cg11901544,0.0044,0.0058,0.0072,0.0091,0.0074,0.0047,0.0083,0.0155,0.013
cg03505346,0.0529,0.0665,0.0704,0.076,0.0817,0.0463,0.0583,0.1172,0.0975
cg06681810,0.0615,0.0693,0.0704,0.0809,0.0725,0.0682,0.0579,0.0867,0.0729
cg24852032,0.0745,0.1131,0.1198,0.1791,0.1254,0.0641,0.0413,0.1835,0.1717
cg04739306,0.0061,0.0072,0.007,0.0151,0.0107,0.0089,0.0533,0.0107,0.0051
cg05993306,0.0152,0.0189,0.016,0.0098,0.0197,0.0147,0.0006,0.0152,0.0
cg01778114,0.0107,0.0148,0.0288,0.0173,0.0208,0.0197,0.0099,0.0201,0.0191
cg12620499,0.0017,0.001,0.003,0.0029,0.0015,0.0033,0.0073,0.0167,0.0055
cg03077836,0.0066,0.0132,0.0118,0.0094,0.0116,0.0058,0.0012,0.0055,0.0067
cg20424833,0.066,0.0758,0.0363,0.0783,0.0604,0.0485,0.0188,0.0195,0.0197
cg11872300,0.0054,0.0098,0.0179,0.0275,0.017,0.0118,0.0022,0.0093,0.0055
cg26517849,0.0227,0.0545,0.0298,0.0316,0.0445,0.0266,0.0106,0.026,0.033
cg10037494,0.0359,0.1098,0.0568,0.0436,0.0775,0.0369,0.0131,0.0375,0.0771
cg05452899,0.097,0.1714,0.1454,0.133,0.1689,0.0877,0.0569,0.0766,0.1622
cg01667319,0.0789,0.1328,0.1004,0.0933,0.1113,0.0762,0.049,0.0832,0.1157
cg05859777,0.0805,0.1206,0.1065,0.0857,0.1351,0.0728,0.0615,0.0685,0.1374
cg15264710,0.0399,0.049,0.0423,0.0436,0.0402,0.0416,0.0422,0.0571,0.0662
cg23157971,0.0046,0.0136,0.0067,0.0115,0.0093,0.0055,0.0016,0.0089,0.0047
cg22076972,0.0107,0.0139,0.012,0.0119,0.0122,0.0094,0.0086,0.0179,0.0204
cg03451296,0.0043,0.0056,0.0035,0.0038,0.007,0.0041,0.0034,0.0014,0.0014
cg23411981,0.0149,0.0321,0.0113,0.0236,0.0204,0.0238,0.0103,0.0198,0.0122
cg09276315,0.0242,0.0206,0.0253,0.0226,0.0237,0.028,0.0186,0.0348,0.0299
cg15346168,0.0203,0.017,0.048,0.0317,0.1134,0.0188,0.0045,0.0006,0.0117
cg25076767,0.0091,0.0088,0.0173,0.0108,0.0262,0.0098,0.0133,0.0015,0.0051
cg26705574,0.1029,0.0666,0.1054,0.1267,0.1749,0.0951,0.0592,0.0542,0.0718
cg00054525,0.0162,0.0156,0.0219,0.0178,0.0162,0.0218,0.0083,0.0207,0.0029
cg08177833,0.0143,0.0142,0.0116,0.013,0.0118,0.014,0.009,0.0114,0.0062
cg06410591,0.0165,0.0252,0.2156,0.0682,0.276,0.0195,0.005,0.0071,0.0451
cg13860006,0.0087,0.0098,0.1701,0.0464,0.2373,0.0102,0.004,0.0032,0.0237
cg07981910,0.0025,0.0035,0.0016,0.0027,0.0026,0.0028,0.0083,0.0157,0.0212
cg05896042,0.009,0.0116,0.0429,0.0935,0.1216,0.0116,0.0059,0.0105,0.0151
cg15468521,0.0071,0.0437,0.0101,0.008,0.012,0.0078,0.0244,0.0214,0.0333
cg16348316,0.0147,0.0302,0.0314,0.0232,0.0512,0.0156,0.018,0.0183,0.0507
cg09747827,0.0956,0.1224,0.1336,0.1241,0.1702,0.0856,0.068,0.1114,0.1215
cg05009389,0.0181,0.0286,0.0429,0.021,0.0626,0.0255,0.0099,0.0184,0.0478
cg11688275,0.0316,0.0236,0.0266,0.0217,0.0264,0.029,0.0123,0.0229,0.0234
cg18303215,0.0228,0.184,0.0836,0.039,0.1496,0.0172,0.0073,0.0124,0.0342
cg12137206,0.035,0.0391,0.0386,0.0321,0.033,0.0335,0.0273,0.04,0.0403
cg04879832,0.0072,0.0073,0.007,0.0072,0.0052,0.0072,0.0054,0.0047,0.0052
cg08843517,0.1038,0.1377,0.1407,0.1266,0.1328,0.1251,0.047,0.0479,0.0312
cg03125427,0.0178,0.0281,0.0274,0.0199,0.0181,0.0268,0.0299,0.0123,0.0215
cg03710719,0.0069,0.0072,0.007,0.0068,0.0043,0.0055,0.0028,0.0025,0.002
cg27297851,0.0282,0.0357,0.0318,0.0298,0.0308,0.0275,0.0375,0.0436,0.0349
cg01000657,0.0044,0.0172,0.0254,0.0098,0.0263,0.0068,0.0217,0.0165,0.0092
cg19670286,0.0032,0.0068,0.003,0.0049,0.0066,0.0059,0.0008,0.0129,0.0104
cg19155007,0.0125,0.0151,0.043,0.0172,0.0389,0.0124,0.0167,0.0297,0.0201
cg09738156,0.0878,0.1425,0.2503,0.1723,0.2386,0.0844,0.0968,0.1012,0.0983
cg08125401,0.1379,0.1683,0.1602,0.1594,0.1556,0.1452,0.1852,0.2118,0.182
cg26437123,0.013,0.0148,0.0178,0.0119,0.013,0.0127,0.0032,0.0037,0.006
cg06263834,0.0479,0.0521,0.0549,0.0458,0.0454,0.0464,0.0526,0.0539,0.0561
cg00478874,0.0038,0.0077,0.01,0.0126,0.019,0.005,0.0139,0.0183,0.0183
cg18466911,0.0821,0.0867,0.0999,0.1076,0.0952,0.0829,0.0539,0.1374,0.0949
cg11901544,0.0044,0.0058,0.0072,0.0091,0.0074,0.0047,0.0083,0.0155,0.013
cg03505346,0.0529,0.0665,0.0704,0.076,0.0817,0.0463,0.0583,0.1172,0.0975
cg24852032,0.0745,0.1131,0.1198,0.1791,0.1254,0.0641,0.0413,0.1835,0.1717
cg10734734,0.012,0.0158,0.0175,0.0134,0.0152,0.0115,0.0067,0.0063,0.0114
cg19091677,0.0064,0.0067,0.0075,0.0074,0.0078,0.0083,0.0113,0.0062,0.0015
cg11186122,0.0137,0.0115,0.0112,0.0158,0.0131,0.01,0.0159,0.0107,0.0057
cg07003632,0.005,0.0583,0.0149,0.0094,0.0152,0.0061,0.0069,0.0035,0.0107
cg14185025,0.0091,0.0508,0.0145,0.0082,0.0145,0.0108,0.0016,0.0093,0.0085
cg11714334,0.0035,0.0055,0.0054,0.0046,0.004,0.0041,0.004,0.0135,0.0062
cg16206460,0.0162,0.0304,0.0851,0.022,0.09,0.0227,0.0222,0.0438,0.163
cg07931411,0.0094,0.0204,0.0876,0.018,0.0748,0.0126,0.01,0.0202,0.0804
cg26271110,0.0159,0.0127,0.0154,0.0129,0.015,0.0159,0.0028,0.0091,0.0071
cg12773325,0.0281,0.0473,0.038,0.0386,0.0332,0.0378,0.0107,0.0098,0.009
cg18087943,0.0134,0.0382,0.0214,0.0199,0.0252,0.0192,0.0081,0.0073,0.0098
cg12614029,0.047,0.0833,0.066,0.0648,0.0555,0.0632,0.0354,0.0162,0.0425
cg14608156,0.015,0.0339,0.0166,0.025,0.0195,0.0194,0.0127,0.0114,0.0129
cg04879832,0.0072,0.0073,0.007,0.0072,0.0052,0.0072,0.0054,0.0047,0.0052
cg08843517,0.1038,0.1377,0.1407,0.1266,0.1328,0.1251,0.047,0.0479,0.0312
cg03125427,0.0178,0.0281,0.0274,0.0199,0.0181,0.0268,0.0299,0.0123,0.0215
cg07987843,0.0152,0.0202,0.0189,0.0193,0.0232,0.0242,0.0073,0.063,0.017
cg13139203,0.0127,0.0111,0.0152,0.0132,0.0169,0.0144,0.0072,0.0118,0.0101
cg26170066,0.0356,0.0412,0.05,0.0526,0.0936,0.0384,0.0333,0.0264,0.0072
cg19609502,0.0196,0.0796,0.0172,0.0218,0.0155,0.0201,0.0163,0.0167,0.0334
cg20385508,0.0277,0.0304,0.0336,0.0305,0.031,0.0278,0.0147,0.034,0.024
cg04571847,0.0105,0.0219,0.0223,0.0116,0.0218,0.0152,0.008,0.0255,0.008
cg08125719,0.0333,0.0494,0.0355,0.03,0.0351,0.034,0.0123,0.0152,0.0068
cg09100988,0.0161,0.0394,0.016,0.0168,0.0222,0.0274,0.0211,0.0248,0.0263
cg12773325,0.0281,0.0473,0.038,0.0386,0.0332,0.0378,0.0107,0.0098,0.009
cg18087943,0.0134,0.0382,0.0214,0.0199,0.0252,0.0192,0.0081,0.0073,0.0098
cg12614029,0.047,0.0833,0.066,0.0648,0.0555,0.0632,0.0354,0.0162,0.0425
cg14608156,0.015,0.0339,0.0166,0.025,0.0195,0.0194,0.0127,0.0114,0.0129
cg03787864,0.0162,0.0201,0.0179,0.0214,0.0219,0.0327,0.0171,0.0138,0.0176
cg21107197,0.0068,0.0165,0.008,0.006,0.0104,0.0072,0.0073,0.0289,0.0046
cg26386472,0.0414,0.0455,0.0508,0.0434,0.0495,0.0485,0.0097,0.0165,0.0055
cg16809962,0.0168,0.0187,0.0188,0.0144,0.0219,0.0141,0.0042,0.0026,0.01
cg14514032,0.0169,0.0654,0.0267,0.0235,0.0403,0.0196,0.0071,0.0151,0.0174
cg21429745,0.061,0.1453,0.0681,0.0686,0.1184,0.0625,0.017,0.0196,0.0361
cg12258307,0.0347,0.0317,0.0322,0.029,0.0312,0.032,0.0178,0.0221,0.0193
cg02672397,0.0266,0.0324,0.0283,0.0241,0.0312,0.0343,0.0096,0.016,0.0055
cg10110271,0.0684,0.1058,0.0914,0.0804,0.1057,0.0671,0.0436,0.0833,0.1321
cg03900851,0.0101,0.015,0.0145,0.0111,0.0138,0.008,0.0008,0.0129,0.0022
cg23754431,0.0061,0.009,0.0086,0.0092,0.0074,0.0114,0.0146,0.0101,0.0245
cg24129382,0.0152,0.0064,0.0122,0.0154,0.0129,0.0097,0.0087,0.0081,0.0073
cg25562664,0.0806,0.0878,0.0959,0.0817,0.0882,0.0838,0.1068,0.1596,0.1228
cg12837552,0.0032,0.0048,0.0276,0.0152,0.0809,0.0051,0.0042,0.0004,0.2166
cg26703661,0.025,0.0332,0.0365,0.0292,0.0445,0.0299,0.0238,0.0279,0.0592
cg07873178,0.0114,0.0123,0.0161,0.0432,0.0115,0.0134,0.0112,0.0845,0.0138
cg00992153,0.0388,0.1228,0.1955,0.0785,0.2761,0.039,0.0166,0.033,0.0469
cg03934689,0.012,0.0419,0.1062,0.0301,0.1604,0.0081,0.0062,0.0025,0.0251
cg05304177,0.0278,0.1433,0.0298,0.032,0.0622,0.0189,0.0087,0.0071,0.0214
cg00054525,0.0162,0.0156,0.0219,0.0178,0.0162,0.0218,0.0083,0.0207,0.0029
cg08177833,0.0143,0.0142,0.0116,0.013,0.0118,0.014,0.009,0.0114,0.0062
cg06410591,0.0165,0.0252,0.2156,0.0682,0.276,0.0195,0.005,0.0071,0.0451
cg13860006,0.0087,0.0098,0.1701,0.0464,0.2373,0.0102,0.004,0.0032,0.0237
cg22220467,0.0041,0.0169,0.0072,0.042,0.0398,0.0043,0.0038,0.0062,0.0214
cg00524108,0.0058,0.0417,0.0234,0.0585,0.0866,0.0079,0.0033,0.0113,0.0426
cg04681368,0.0433,0.0793,0.0633,0.0706,0.0864,0.047,0.0152,0.0257,0.024
cg10632000,0.0442,0.0931,0.0758,0.1639,0.1276,0.0482,0.0355,0.1234,0.0841
cg05795596,0.0367,0.033,0.0384,0.0352,0.0417,0.0293,0.0671,0.0648,0.0499
cg22359388,0.0137,0.012,0.0489,0.0398,0.0964,0.0105,0.0273,0.0171,0.0107
cg12296532,0.0247,0.0276,0.0288,0.0277,0.0224,0.028,0.0032,0.0082,0.0087
cg02682457,0.0034,0.005,0.0054,0.0046,0.0026,0.0016,0.0065,0.0019,0.0408
cg05917732,0.0086,0.0071,0.0095,0.0074,0.0086,0.0084,0.0057,0.0036,0.0489
cg14324370,0.0077,0.0312,0.0103,0.0051,0.0127,0.0048,0.0132,0.0033,0.0272
cg20678442,0.0091,0.0055,0.0085,0.0068,0.0122,0.0075,0.0061,0.006,0.0037
cg12023625,0.0204,0.0276,0.0187,0.0226,0.0207,0.0313,0.0211,0.0317,0.0663
cg20389472,0.0094,0.0337,0.0124,0.0156,0.0126,0.0148,0.0402,0.0029,0.0117
cg10830145,0.0268,0.0695,0.0432,0.044,0.0673,0.0433,0.0093,0.0229,0.1401
cg19235339,0.0038,0.0021,0.0068,0.0054,0.0047,0.0052,0.0101,0.0141,0.0242
cg13092806,0.0163,0.096,0.0299,0.0278,0.0472,0.0182,0.0134,0.0,0.0384
cg08718097,0.0282,0.0612,0.048,0.0551,0.0462,0.0296,0.0158,0.0905,0.1237
cg23141355,0.0084,0.0188,0.021,0.0128,0.0255,0.0103,0.0128,0.0082,0.0807
cg11416243,0.0056,0.0065,0.0096,0.0068,0.0095,0.006,0.0041,0.0268,0.0288
cg08154437,0.0078,0.0257,0.0308,0.0102,0.0497,0.0119,0.0038,0.0312,0.2703
cg16911981,0.0143,0.0344,0.024,0.0191,0.0304,0.0171,0.0163,0.1428,0.0273
cg16589135,0.0197,0.0246,0.0376,0.0304,0.0503,0.0257,0.0126,0.0204,0.1252
cg09853371,0.0512,0.0569,0.0669,0.0457,0.0518,0.0473,0.0394,0.0766,0.1145
cg24771349,0.0062,0.0272,0.0037,0.0044,0.0041,0.0034,0.0039,0.0067,0.0738
cg03511806,0.0389,0.0537,0.0418,0.0327,0.0332,0.0385,0.0504,0.0459,0.0522
cg05966978,0.0444,0.0477,0.0497,0.0349,0.0438,0.0399,0.0336,0.0516,0.0337
cg05627029,0.0113,0.0198,0.019,0.0178,0.0226,0.0148,0.0291,0.0197,0.2308
cg11282936,0.0255,0.0392,0.0569,0.0277,0.0614,0.0228,0.0257,0.0509,0.049
cg24548833,0.03,0.0668,0.118,0.0395,0.1229,0.0367,0.0356,0.0547,0.0736
cg11282936,0.0255,0.0392,0.0569,0.0277,0.0614,0.0228,0.0257,0.0509,0.049
cg24548833,0.03,0.0668,0.118,0.0395,0.1229,0.0367,0.0356,0.0547,0.0736
cg05339066,0.0347,0.0422,0.0509,0.0457,0.063,0.0319,0.0383,0.0746,0.0566
cg18192294,0.0244,0.0239,0.0317,0.0295,0.0445,0.0207,0.0163,0.0271,0.0189
cg11861709,0.0688,0.0823,0.1087,0.0972,0.1353,0.0712,0.0537,0.091,0.1099
cg10131095,0.0928,0.0981,0.107,0.0967,0.1003,0.0912,0.0669,0.0645,0.0636
cg06981182,0.047,0.0622,0.0836,0.0748,0.1111,0.0442,0.0492,0.0887,0.0734
cg06118999,0.048,0.0573,0.0705,0.0615,0.0956,0.0533,0.0643,0.0821,0.0602
